X_Deg Y_Deg X_Pix Y_Pix B-band_Flux B-Flux_error V-band_Flux V-Flux_error I-band_Flux I-Flux_error Z-band_Flux Z-Flux_error Y-band_Flux Y-Flux_error J-band_Flux J-Flux_error JH-band_Flux JH-Flux_error H-band_Flux H-Flux_error Image_used R_s Axis_Ratio Position_Angle_Degrees Galfit_Error_Code Astrometric_Flag A_CIER Mag_Flag Colour_Flag input_z redshift_beagle_1 outlier_value P1/P2 drop_out_agree ID_Bouwens RAh RAm RAs DEdeg DEm DEs F160W rset dset zphot Z-bin
189.45210527 62.237623397 4094.492 10194.363 1.34e-32 4.2516999999999984e-32 2.135e-31 3.0378e-32 4.11e-31 5.056899999999999e-32 5.4689999999999985e-31 6.4538e-32 1.673e-31 9.189999999999999e-32 4.136e-31 1.248e-31 0.0 0.0 4.11e-31 1.6589999999999996e-31 North 0.9713 0.0309 47.3713 8.0 0.0 107.0 0.0 2.0 4.01 3.9339999999999997 0.01516966067864264 0.021490000000000002 1 GNWB-7485214158 12 37 48.52 62 14 15.8 26.84 4 6 4.01 4.0
189.45954325 62.248560409 3888.954 10851.31 -5.24e-32 3.9710999999999996e-32 2.212e-31 2.9951e-32 5.604e-31 4.995899999999999e-32 6.642e-31 5.947499999999998e-32 5.702e-31 8.66e-32 4.946999999999999e-31 1.248e-31 0.0 0.0 7.987e-31 1.63e-31 North 1.8904 0.051 -34.5923 8.0 0.0 0.0 0.0 2.0 4.37 4.0 0.06890130353817507 -99.0 1 GNWB-7502914551 12 37 50.29 62 14 55.1 26.56 4 6 4.37 4.0
189.47772907 62.24941175399999 3381.073 10904.274 -5.69e-32 3.9649999999999997e-32 1.7019999999999996e-31 3.8795999999999996e-32 4.396e-31 6.978399999999999e-32 4.011e-31 8.546099999999997e-32 4.606999999999999e-31 9.09e-32 3.3189999999999994e-31 1.179e-31 0.0 0.0 4.132e-31 1.675e-31 North 1.25 0.03 -14.6689 8.0 0.0 107.0 0.0 2.0 4.32 4.434 0.021428571428571404 -99.0 1 GNWB-7546714582 12 37 54.67 62 14 58.2 27.18 4 6 4.32 4.0
189.45252262 62.24853619100001 4085.092 10849.168 2.7e-33 2.8364999999999996e-32 2.481e-31 2.318e-32 4.638e-31 4.1174999999999995e-32 4.334e-31 5.2033e-32 4.317e-31 9.63e-32 1.5329999999999998e-31 1.3479999999999999e-31 0.0 0.0 5.204999999999998e-31 1.834e-31 North 2.7344 0.0542 79.6578 12.0 0.0 107.0 0.0 6.0 3.96 3.815 0.029233870967741937 0.2321 1 GNWB-7485914550 12 37 48.59 62 14 55.0 26.1 4 6 3.96 4.0
189.48979099 62.254956071 3045.437 11238.258999999998 6.38e-32 3.7880999999999996e-32 2.282e-31 3.538e-32 5.63e-31 6.673399999999999e-32 5.4739999999999996e-31 8.9426e-32 5.534e-31 1.0449999999999996e-31 9.616e-31 1.025e-31 0.0 0.0 9.267e-31 1.324e-31 North 1.5104 0.248 -38.1222 0.0 0.0 107.0 0.0 2.0 3.4 3.332 0.015454545454545469 -99.0 1 GNWB-7575615181 12 37 57.56 62 15 18.1 25.7 4 6 3.4 4.0
189.50576185 62.266379068999996 2602.27 11925.489 8.4e-33 4.196799999999997e-32 1.676e-31 2.9036e-32 3.464e-31 4.9837e-32 3.579999999999997e-31 6.301299999999997e-32 4.621e-31 9.72e-32 2.028e-31 1.4539999999999998e-31 0.0 0.0 8.62e-31 1.3919999999999998e-31 North 1.9153 0.1617 79.6911 0.0 0.0 107.0 0.0 6.0 4.27 3.199 0.20322580645161287 0.1484 1 GNWB-8013915593 12 38 1.39 62 15 59.3 25.84 4 6 4.27 4.0
189.4699336 62.257781828 3600.729000000001 11405.651000000002 2.8999999999999997e-33 3.9283999999999996e-32 6.984999999999999e-31 3.904e-32 1.1709999999999998e-30 6.411099999999997e-32 1.283e-30 8.381399999999999e-32 1.1768e-30 8.909999999999998e-32 1.1982999999999998e-30 1.202e-31 0.0 0.0 1.5818e-30 1.6899999999999998e-31 North 0.0286 0.6612 -4.6653 8.0 0.0 107.0 97.0 1.5 4.06 4.006 0.01067193675889316 -99.0 1 GNWB-7528015283 12 37 52.8 62 15 28.3 25.21 4 6 4.06 4.0
189.45903181 62.258768321999995 3905.422 11463.731000000002 2.478e-31 3.946699999999999e-32 1.1309e-30 3.0012e-32 1.7681e-30 5.069099999999999e-32 1.9625999999999997e-30 6.411099999999997e-32 2.0163999999999996e-30 9.259999999999999e-32 2.4677999999999998e-30 1.1419999999999998e-31 0.0 0.0 2.9972e-30 1.752e-31 North 1.2313 0.2246 73.3645 0.0 0.0 107.0 0.0 1.0 3.96 3.432 0.1064516129032258 -99.0 1 GNWB-7501615319 12 37 50.16 62 15 31.9 24.76 4 6 3.96 4.0
189.4759444 62.259849846 3433.324 11530.365 8.71e-32 3.904e-32 8.81e-32 3.6904999999999986e-32 5.360999999999999e-31 6.667299999999999e-32 5.2969999999999995e-31 8.722999999999999e-32 6.135999999999999e-31 9.289999999999999e-32 5.5899999999999995e-31 1.2679999999999998e-31 0.0 0.0 7.976999999999999e-31 1.7999999999999996e-31 North 0.01 0.4841 77.2451 8.0 0.0 0.0 97.0 7.0 4.65 3.799 0.15061946902654874 -99.0 1 GNWB-7542215357 12 37 54.22 62 15 35.7 26.98 4 6 4.65 4.0
189.48141386 62.260110264 3280.636 11546.58 3.7299999999999995e-32 4.0198999999999996e-32 3.8649999999999996e-31 4.0443e-32 6.973e-31 7.393199999999997e-32 9.054999999999999e-31 9.680699999999999e-32 7.370999999999994e-31 1.0859999999999996e-31 8.221e-31 1.3689999999999998e-31 0.0 0.0 8.88e-31 2.001e-31 North 0.8155 0.3632 -34.8147 0.0 0.0 107.0 0.0 1.5 4.11 4.135 0.004892367906066432 -99.0 1 GNWB-7555315366 12 37 55.53 62 15 36.6 25.83 4 6 4.11 4.0
