X_Deg Y_Deg X_Pix Y_Pix B-band_Flux B-Flux_error V-band_Flux V-Flux_error I-band_Flux I-Flux_error Z-band_Flux Z-Flux_error Y-band_Flux Y-Flux_error J-band_Flux J-Flux_error JH-band_Flux JH-Flux_error H-band_Flux H-Flux_error Image_used R_s Axis_Ratio Position_Angle_Degrees Galfit_Error_Code Astrometric_Flag A_CIER Mag_Flag Colour_Flag input_z redshift_beagle_1 outlier_value P1/P2 drop_out_agree ID(Fink) IAU IAU2 RA Dec ZPhot b_ZPhot B_ZPhot 1500Mag b_1500Mag B_1500Mag
189.17966678 62.240794531000006 11708.545 10374.369 6.269999999999997e-32 3.5929e-32 1.141e-31 2.989e-32 2.839e-31 5.142299999999998e-32 2.801e-31 6.514799999999997e-32 2.519e-31 6.4e-32 4.587e-31 5.32e-32 7.881e-31 1.694e-31 6.676e-31 7.889999999999999e-32 North 4.1683 0.2367 -30.4431 0.0 0.0 0.0 0.0 2.0 3.19 3.1860000000000004 0.0009546539379473892 0.3749 1 z4_GND_22332 HRG14 J123643.12+621426.9 189.179672 62.240799 3.19 0.7 4.07 -18.68 -19.2 -18.37
189.26588672 62.247547408 9299.328000000001 10779.323999999999 6.23e-32 3.7149e-32 1.863e-31 3.025599999999999e-32 5.7619999999999985e-31 5.489999999999997e-32 6.352e-31 6.423299999999997e-32 9.309e-31 5.32e-32 1.6832e-30 6.749999999999999e-32 2.5798e-30 1.967e-31 3.1729e-30 1.079e-31 North 3.772 0.6917 -46.3709 0.0 0.0 0.0 0.0 7.0 3.23 3.833 0.14255319148936174 0.04649 1 z4_GND_19891 HRG14 J123703.82+621451.1 189.2659 62.247536 3.23 3.21 4.03 -20.36 -21.0 -20.25
189.16415849999998 62.261752382 12140.678 11632.219 9.15e-32 3.721e-32 3.995e-31 2.8609e-32 6.907999999999998e-31 4.953199999999998e-32 9.003e-31 6.0817e-32 7.288e-31 1.071e-31 1.469499999999999e-30 5.619999999999999e-32 1.9478999999999998e-30 2.027e-31 2.1694999999999997e-30 8.23e-32 North 3.5708 0.8371 68.1485 4.0 99.0 107.0 0.0 7.0 3.24 3.802 0.1325471698113207 -99.0 1 z4_GND_14785 HRG14 J123639.42+621542.5 189.16423 62.26180600000001 3.24 3.17 4.07 -19.05 -19.71 -18.92
189.28988311 62.18105849 8625.115 6790.5 1.8e-32 4.4103000000000003e-32 8.81e-32 3.3000999999999995e-32 1.2239999999999999e-31 5.3741e-32 1.7429999999999996e-31 6.9235e-32 1.4499999999999998e-31 4.53e-32 1.992e-31 6.07e-32 -3.257e-31 1.941e-31 3.952e-31 7.61e-32 North 0.01 0.7566 89.9272 8.0 0.0 0.0 0.0 2.0 3.25 3.414 0.038588235294117576 0.308 1 z4_GND_40962 HRG14 J123709.58+621051.8 189.289902 62.181068 3.25 1.81 5.02 -16.12 -16.92 -15.39
189.20898382 62.311846223 10887.976 14637.038 1.247e-31 3.4769999999999996e-32 2.102e-31 3.1170999999999995e-32 4.329e-31 4.812899999999999e-32 4.325e-31 6.374499999999997e-32 9.21e-32 2.137e-31 5.281e-31 4.38e-32 3.351e-31 1.985e-31 6.8400000000000005e-31 6.52e-32 North 0.0771 0.0573 69.7734 8.0 0.0 0.0 0.0 7.0 3.31 3.603 0.06798143851508122 -99.0 1 z4_GND_41377 HRG14 J123650.16+621842.6 189.208984 62.311844 3.31 0.51 4.09 -18.08 -18.49 -17.65
189.29737679 62.154041989 8413.565 5169.719 1.163e-31 6.484299999999997e-32 1.207e-31 4.8433999999999995e-32 4.096e-31 8.722999999999999e-32 4.232e-31 1.0632299999999996e-31 6.562e-31 4.2e-32 1.0046e-30 5.969999999999997e-32 0.0 0.0 1.6293e-30 8.63e-32 North 2.5871 0.7991 38.9255 0.0 0.0 0.0 0.0 2.0 3.36 4.1560000000000015 0.18256880733944994 0.1491 1 z4_GND_819 HRG14 J123711.36+620914.5 189.297348 62.154034 3.36 3.02 4.29 -19.71 -20.14 -19.53
189.18419441 62.188269478 11584.181 7222.775 1.1259999999999999e-31 3.6722e-32 4.234e-31 3.7759e-32 6.424999999999998e-31 5.496099999999997e-32 4.433e-31 7.112599999999997e-32 5.889999999999999e-31 4.83e-32 7.956999999999998e-31 5.68e-32 3.7899999999999997e-31 2.01e-31 1.0557e-30 7.99e-32 North 6.905 0.184 -65.5011 4.0 0.0 0.0 0.0 1.0 3.41 3.333 0.01746031746031745 -99.0 1 z4_GND_39165 HRG14 J123644.21+621117.8 189.184219 62.188267 3.41 0.38 3.75 -18.62 -18.97 -18.43
189.23227798 62.290579265 10238.473 13360.938999999995 3.96e-32 3.3915999999999984e-32 2.13e-31 2.9218999999999997e-32 3.457e-31 5.136199999999998e-32 5.038e-31 6.301299999999997e-32 3.897999999999999e-31 4.4999999999999995e-32 5.549e-31 5.58e-32 5.471e-31 1.4529999999999998e-31 7.518e-31 6.559999999999998e-32 North 0.7322 0.638 77.5188 0.0 0.0 0.0 0.0 2.0 3.41 3.4960000000000004 0.01950113378684814 -99.0 1 z4_GND_44202 HRG14 J123655.74+621726.1 189.232269 62.290585 3.41 0.41 3.96 -18.43 -18.95 -18.31
189.13434579 62.267532957 12972.722 11980.073999999999 4.1399999999999997e-32 3.6661e-32 1.993e-31 2.9279999999999996e-32 4.770999999999999e-31 4.928799999999998e-32 5.815e-31 6.356199999999999e-32 6.0719999999999985e-31 5.299999999999999e-32 8.752e-31 6.15e-32 1.3031999999999999e-30 1.7219999999999995e-31 1.693e-30 7.76e-32 North 1.636 0.4320000000000001 37.4898 0.0 0.0 0.0 0.0 2.0 3.44 3.827 0.08716216216216217 0.4308 1 z4_GND_12864 HRG14 J123632.24+621603.1 189.134323 62.26751700000001 3.44 3.0 4.1 -19.33 -19.68 -18.92
189.19596512 62.312154045 11250.921999999999 14655.653999999999 -1.4799999999999998e-32 3.4038e-32 4.6509999999999995e-31 3.0804999999999994e-32 8.501e-31 4.995899999999999e-32 8.598e-31 6.5453e-32 1.0456999999999997e-30 1.789e-31 1.714199999999999e-30 4.66e-32 2.2372e-30 8.449999999999999e-32 2.6767e-30 6.79e-32 North 2.4530000000000003 0.4392 36.5506 0.0 0.0 0.0 0.0 2.0 3.44 3.889 0.1011261261261261 0.0793 1 z4_GND_41287 HRG14 J123647.04+621843.7 189.195984 62.312138 3.44 3.23 3.85 -20.08 -20.41 -19.88
