id SFR_ha SFR_ha_err SFR_uv SFR_uv_err SFR_sed SFR_sed_l68 SFR_sed_u68 M_star_mean M_star_median M_star_68_l Mv EW_rest_corr EW_rest_err_corr metal_O32 metal_O32_err metal_R23 metal_R23_err comment
309_1_2 2.1225242385299583 0.47817284906824603 2.4194558267122463 0.4318785476806053 0.07898294 0.043895528 0.11429473 9.914691 9.916176 9.888264 -18.82138361116285 28.81291608397992 5.647664080328617 -99.0 -99.0 -99.0 -99.0 AGN-candidate
309_1_3 9.309433340117446 1.4744982854089914 3.8894716870631116 1.1248909549026591 8.051195 6.1884027 9.927194 9.9672 9.953505 9.7936735 -17.604881520283318 61.513350074693 9.063699202430683 8.32 0.08 -99.0 -99.0 -
309_1_4 0.547889706636215 0.1280064013602816 0.5246532369930359 0.07253426441250317 0.21157776 0.13975143 0.28171474 7.471259599999999 7.4548383 7.2589083 -99.0 -5343.050130565268 -1249.0509684828382 -99.0 -99.0 -99.0 -99.0 -
309_1_5 19.65341162955353 1.6414535570021542 26.602441752856787 1.3301220876428401 24.48079 22.92544 26.099865 10.602702 10.635536 10.488003 -20.63375397781173 84.39758054920853 6.769138678596008 8.71 0.03 8.63 0.06 Extended_relative_to_slit
309_1_6 1.8751988178837045 0.5230553775180273 11.052438047215917 1.2185473282230312 1.3718402 1.0898322 1.6375735 8.379475999999999 8.372688 8.298302 -18.287053022764407 -75.2595 -99.0 8.43 0.05 -99.0 -98.0 AGN-candidate
309_1_7 8.388692258490904 0.4480675364197797 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -2530.556471103552 -135.31596223664928 8.63 0.03 8.33 -98.0 -
309_1_8 7.687021246022224 0.5283575014554299 6.7783871206094055 1.0170051041019266 3.1768339 2.910343 3.4541862 7.5025460000000015 7.4831405 7.445781 -17.929766750304093 631.09606653144 43.09128368588807 7.99 0.07 8.54 0.13 -
309_1_9 9.453135865366662 0.6376156792278126 16.38196929120889 0.9219290077303705 5.0223947 4.3301215 5.692203 9.072583 9.070348 8.988453999999997 -19.304054045961426 138.47405501182362 9.070125469467243 8.44 0.04 -99.0 -99.0 Double-galaxy
309_1_10 17.608290055455328 1.4714684899082668 33.082013347310664 1.6541006673655332 7.834534599999999 6.080441 11.583998 9.659236 9.680161 9.4490385 -19.896021192887662 115.51132364678527 9.294407748877958 8.73 0.05 -99.0 -98.0 -
309_1_11 24.83160439361698 0.9944459324379922 56.78182152694117 2.8390910763470574 25.0167 23.53583 26.452164 9.981297 9.980978 9.952583 -20.45777289379569 135.93827182395006 5.275813072817002 8.58 0.06 8.84 0.07 -
309_1_12 0.9619703701956364 0.09623316957309748 0.4841677314614505 0.08838430914905067 4.204386 3.6402657 4.755793 7.7062664 7.6055245 7.5476565 -99.0 329.223479636228 32.63935472437274 -99.0 -99.0 -99.0 -99.0 -
309_1_13 8.636855353848476 1.391100444683865 12.769890029207499 1.0785658245172032 2.9642646 2.1111398 3.7313457 8.402892999999999 8.383369 8.260433 -18.830510220630487 238.8291989659295 37.81295703825465 8.4 0.06 -99.0 -99.0 -
309_1_14 8.074595702485471 0.9837648240790672 19.62311959874331 0.9811559799371654 2.6565304 2.5522175 2.7559150000000003 10.294386 10.293804 10.256584 -99.0 16.146046605496615 1.615192035796266 8.74 0.03 8.96 -99.0 -
309_1_15 11.207542010003383 2.2866894990697286 52.227923414536534 2.6113961707268265 6.642877 5.773607 7.561084299999999 9.123085 9.047357 9.011108 -19.8598719041798 83.75937168745897 16.145653670387397 8.43 0.08 8.63 0.18 -
309_1_16 24.535189668560005 0.7633249817403368 27.991160600482306 1.3995580300241155 29.256964 26.625565 31.925695 9.0686655 9.053939 8.958313 -19.689492874228748 306.19147201076146 9.413414434436731 8.41 0.04 8.44 -98.0 -
309_1_17 4.4185997303795945 0.8780200102103722 0.5068606683126997 0.2773097881346077 11.297489 7.5206914 15.03014 9.159069 9.108469 8.999085000000003 -18.03913481678294 247.46837173644928 48.45423661148976 -99.0 -99.0 -99.0 -99.0 -
309_1_17 4.4185997303795945 0.8780200102103722 0.5068606683126997 0.2773097881346077 11.297489 7.5206914 15.03014 9.159069 9.108469 8.999085000000003 -18.03913481678294 247.46837173644928 48.45423661148976 -99.0 -99.0 -99.0 -99.0 -
309_1_18 3.299820443746573 0.41076622125674855 -99.0 -99.0 3.6530046 1.644149 5.798324 7.647156 7.540715700000002 7.232408 -99.0 1565.787233637233 194.42078020401664 -99.0 -99.0 -99.0 -99.0 -
62_1_3 31.48383036681119 9.271260871178198 -99.0 -99.0 8.422074 4.8829400000000005 12.130602 10.167456 10.090633 9.9098 -21.348922316543838 29.953171174686616 7.596876101900527 -99.0 -99.0 -99.0 -99.0 -
62_1_4 19.630909714686588 3.958603179288002 -99.0 -99.0 27.28786 20.096296 34.889336 8.480035 8.423878 8.300122 -16.192137441089407 645.486447986348 129.18491716723554 -99.0 -99.0 -99.0 -99.0 -
