id Z_Wisp Z_Fors Z_Fors_err O_II_Flux_corr_rc O_II_Flux_err_corr_rc Hb_Flux_corr_rc_bc Hb_Flux_err_corr_rc_bc O_III_Flux_corr_rc O_III_Flux_err_corr_rc Ha_Flux_[NII]_corr_rc_bc Ha_Flux_err_[NII]_corr_rc_bc S_II_Flux_corr_rc S_II_Flux_err_corr_rc comment
309_1_2 0.8742700000000001 -99.0 -99.0 -99.0 -99.0 -3.58009e-16 1.85582e-16 6.46044e-16 1.85538e-16 1.1359999999999999e-16 2.55925e-17 7.775520000000001e-17 1.37041e-17 AGN-candidate
309_1_3 1.12955 1.14608 0.0001227 1.08047e-16 1.2388699999999998e-17 -6.75357e-17 6.470890000000001e-17 2.37907e-16 8.15515e-17 2.5517599999999997e-16 4.04167e-17 -99.0 -99.0 -
309_1_4 0.43773999999999996 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.57277e-16 3.67454e-17 -99.0 -99.0 -
309_1_5 0.66822 0.6749729999999999 0.0001563 5.98484e-16 1.0331e-16 1.81572e-16 2.55942e-17 1.40624e-16 1.8224300000000002e-17 1.98536e-15 1.65818e-16 9.37722e-16 2.1031200000000002e-16 Extended_relative_to_slit
309_1_6 1.13974 1.1440000000000001 0.0001464 1.6923099999999998e-16 1.96964e-17 1.1589200000000001e-17 1.9479000000000002e-17 2.1962799999999997e-16 4.7540200000000005e-17 5.16317e-17 1.44018e-17 -99.0 -99.0 AGN-candidate
309_1_7 0.4163 0.418397 0.0001161 5.4454700000000005e-15 9.283489999999998e-16 7.73164e-16 1.3119000000000002e-16 2.24943e-15 1.93875e-16 2.29115e-15 1.22378e-16 2.49514e-16 9.84029e-17 -
309_1_8 1.08178 1.0828 0.00015590000000000002 1.15638e-16 1.73331e-17 1.7567500000000001e-16 5.4004799999999995e-17 8.20438e-16 6.95099e-17 2.42502e-16 1.6668099999999998e-17 -99.0 -99.0 -
309_1_9 1.00645 1.00416 0.00014110000000000001 3.0329099999999996e-16 3.03088e-17 7.22359e-17 6.85058e-17 3.7099199999999997e-16 7.0009e-17 3.59364e-16 2.42392e-17 6.27019e-17 1.64001e-17 Double-galaxy
309_1_10 1.14898 1.1467 0.0001452 4.03645e-16 3.65234e-17 1.8151800000000002e-17 6.89546e-17 8.17581e-17 2.63588e-17 4.820059999999999e-16 4.0279699999999997e-17 1.24745e-16 2.7152100000000002e-17 -
309_1_11 1.10703 1.10343 0.00014609999999999997 2.70396e-16 2.3906999999999998e-17 2.3295900000000003e-16 6.799720000000001e-17 1.4712300000000001e-16 4.9822499999999995e-17 7.476180000000001e-16 2.99404e-17 6.750819999999999e-17 2.1374799999999998e-17 -
309_1_12 0.46679 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.3694700000000003e-16 2.37035e-17 -99.0 -99.0 -
309_1_13 0.34588 1.0329700000000002 9.300000000000001e-05 2.1822e-16 2.2479899999999997e-17 -9.45794e-18 7.090840000000001e-17 3.26309e-16 9.418190000000001e-17 3.3221e-16 5.35076e-17 2.8306100000000003e-16 4.51112e-17 -
309_1_14 0.4484 0.44444300000000003 0.0001051 8.939810000000002e-16 1.5616e-16 1.13112e-15 9.83369e-17 1.66098e-16 1.77355e-17 2.2356200000000002e-15 2.72376e-16 2.73327e-16 7.236329999999999e-17 -
309_1_15 1.30984 -99.0 -99.0 3.42815e-16 1.1832499999999998e-16 1.8886900000000003e-16 9.08879e-17 4.4249199999999995e-16 9.78928e-17 2.2074700000000003e-16 4.5039300000000003e-17 8.324469999999999e-17 3.29441e-17 -
309_1_16 0.81089 0.812339 0.00012919999999999997 2.1493e-15 3.7256699999999996e-16 6.10683e-16 1.37082e-16 3.15352e-15 1.34703e-16 1.5734500000000002e-15 4.8952200000000004e-17 1.2642799999999998e-16 2.82476e-17 -
309_1_17 0.8156100000000001 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.80621e-16 5.576210000000001e-17 -99.0 -99.0 -
309_1_18 0.9925799999999999 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.29093e-16 1.60697e-17 -99.0 -99.0 -
62_1_3 1.07779 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0046900000000002e-15 2.95858e-16 -99.0 -99.0 -
62_1_4 1.43262 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0983200000000003e-16 6.24781e-17 -99.0 -99.0 -
62_1_5 0.8654799999999999 0.855001 0.00012150000000000001 1.59616e-16 1.2925200000000001e-17 -99.0 -99.0 -99.0 -99.0 1.47096e-15 2.94835e-16 -99.0 -99.0 -
62_1_6 0.55914 0.5605760000000001 0.00010109999999999999 7.60631e-16 2.65942e-17 2.05691e-16 6.8344000000000004e-18 3.3653400000000004e-16 1.0021000000000001e-17 5.48188e-16 6.00275e-17 9.959110000000001e-17 3.1956e-17 -
62_1_7 0.82657 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 5.25491e-16 2.7107800000000003e-17 -99.0 -99.0 -
62_1_8 0.35917 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.7323800000000004e-16 1.14594e-16 -99.0 -99.0 -
62_1_9 0.85906 0.850916 0.0001326 5.67108e-16 2.1472800000000002e-17 -99.0 -99.0 -99.0 -99.0 2.42853e-15 1.05038e-15 -99.0 -99.0 -
62_1_11 0.50556 0.507047 0.00013319999999999999 7.65843e-16 3.59516e-17 1.6936e-16 8.33849e-18 6.28866e-16 2.6472399999999995e-17 5.80253e-16 6.450140000000001e-17 -99.0 -99.0 -
62_1_13 0.61907 1.13373 0.00014140000000000002 2.23584e-16 1.3168099999999999e-17 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -
62_1_14 0.59305 1.80855 5e-06 5.29304e-16 1.08877e-16 2.70839e-16 1.21865e-16 5.98263e-16 9.24125e-17 -99.0 -99.0 -99.0 -99.0 -
62_1_15 0.7144 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 5.39618e-16 3.67282e-17 -99.0 -99.0 -
62_1_16 0.45842 0.45396400000000003 0.00016580000000000002 8.56279e-16 3.38665e-17 7.326519999999999e-16 4.4297299999999993e-17 6.928960000000001e-16 3.38806e-17 4.35862e-15 5.002680000000001e-16 -99.0 -99.0 Extended_relative_to_slit
62_1_17 1.21774 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.8363900000000002e-16 4.07762e-17 -99.0 -99.0 -
64_2_5 1.35637 -99.0 -99.0 1.0404000000000001e-15 1.6627599999999997e-16 1.9165900000000002e-16 2.1440000000000002e-16 4.06794e-16 1.15119e-16 6.81844e-16 6.373360000000001e-17 -99.0 -99.0 -
64_2_6 0.54933 0.549657 0.00013730000000000003 4.25052e-16 1.6908e-17 1.45793e-16 1.8425600000000002e-17 1.63275e-16 1.69368e-17 3.50411e-16 6.260359999999999e-17 9.12471e-17 3.53448e-17 -
64_2_7 0.90515 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.4541899999999999e-16 4.27345e-17 -99.0 -99.0 -
64_2_8 0.61797 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 6.04467e-16 1.07549e-16 -99.0 -99.0 -
64_2_9 2.1833400000000003 -99.0 -99.0 8.69892e-17 3.81277e-17 8.44284e-17 3.09145e-17 6.69418e-16 5.83977e-17 -99.0 -99.0 -99.0 -99.0 -
64_2_10 0.6594800000000001 0.658803 8.92e-05 1.46509e-16 1.22369e-17 7.07276e-17 2.59279e-18 3.11782e-16 9.958999999999999e-18 1.8203499999999998e-16 3.55942e-17 -99.0 -99.0 -
64_2_11 0.68845 0.691347 8.96e-05 6.222190000000001e-16 3.0030500000000007e-17 -99.0 -99.0 -99.0 -99.0 1.1147299999999999e-15 1.27264e-16 -99.0 -99.0 -
64_2_12 0.94499 0.9482889999999999 0.00012119999999999999 5.757619999999999e-16 1.8157999999999998e-17 4.25711e-16 1.20372e-16 1.01394e-15 2.3027599999999995e-16 4.2109399999999998e-16 6.018489999999999e-17 1.47386e-16 6.31557e-17 -
64_2_13 1.5227 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 4.12223e-16 9.91785e-17 -99.0 -99.0 -
64_2_14 1.12165 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0538100000000002e-16 2.58029e-17 -99.0 -99.0 -
64_2_15 0.89592 0.896652 0.0001792 1.4154899999999999e-16 8.922100000000001e-18 -3.6333300000000003e-16 2.1271900000000002e-16 5.192930000000001e-16 8.145859999999999e-17 1.5136200000000001e-15 1.89345e-16 -99.0 -99.0 Hb-artificat
64_2_16 1.9375799999999999 -99.0 -99.0 1.1103299999999998e-16 5.032409999999999e-17 3.96089e-17 1.9465e-17 4.09823e-16 4.51374e-17 -99.0 -99.0 -99.0 -99.0 -
64_2_18 0.48808999999999997 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.34571e-16 3.00903e-17 4.62091e-17 1.74321e-17 -
309_2_1 1.54539 -99.0 -99.0 2.21155e-16 8.16957e-17 2.19358e-16 3.3090399999999995e-17 1.44955e-15 4.32922e-17 4.3467699999999994e-16 5.06961e-17 -99.0 -99.0 -
309_2_3 1.58588 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.4544599999999996e-16 2.41074e-17 -99.0 -99.0 -99.0 -99.0 -
309_2_4 1.7307599999999999 -99.0 -99.0 2.25659e-16 3.7186399999999995e-17 5.39431e-17 1.3895e-17 6.84048e-16 3.22867e-17 -99.0 -99.0 -99.0 -99.0 -
309_2_5 1.87458 -99.0 -99.0 4.802150000000001e-16 9.930200000000002e-17 6.94553e-17 1.86605e-17 6.97405e-16 4.02973e-17 -99.0 -99.0 -99.0 -99.0 -
309_2_6 0.60138 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.45344e-16 2.71096e-17 -99.0 -99.0 -
309_2_7 1.67252 -99.0 -99.0 3.9225900000000003e-17 6.25711e-17 3.88902e-17 1.6155e-17 4.04005e-16 3.7922e-17 -99.0 -99.0 -99.0 -99.0 -
309_2_8 1.19116 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 8.71345e-17 1.43095e-17 -99.0 -99.0 -
309_2_9 0.41834 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.56568e-16 4.6821800000000005e-17 -99.0 -99.0 -
309_2_11 0.46443 0.46360500000000004 0.0001022 3.2485e-16 1.86084e-17 2.0914099999999998e-16 1.91155e-17 6.12067e-17 1.44514e-17 7.775699999999999e-16 1.06464e-16 1.40872e-16 4.51088e-17 -
309_2_13 1.2254 1.22755 6.979999999999999e-05 7.935260000000001e-17 1.0971700000000001e-17 -2.95586e-17 4.3249199999999996e-17 2.86102e-16 5.05626e-17 1.9666e-16 6.957949999999999e-17 -99.0 -99.0 -
309_2_14 1.83405 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 4.9733e-16 7.65049e-17 -99.0 -99.0 -99.0 -99.0 -
309_2_17 1.60022 -99.0 -99.0 2.1786500000000002e-16 8.43627e-17 4.210440000000001e-18 2.79997e-17 2.2303599999999995e-16 4.18705e-17 -99.0 -99.0 -99.0 -99.0 -
309_2_18 1.0474 1.06289 0.000147 1.15992e-16 1.333e-17 4.0632299999999997e-16 1.46671e-16 3.4107800000000003e-16 7.92004e-17 3.3914800000000006e-16 1.1466e-16 -99.0 -99.0 -
309_2_20 0.51876 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.2768900000000004e-16 4.937819999999999e-17 -99.0 -99.0 -
236_1_2 0.92304 0.929109 0.0001325 1.5840100000000001e-16 1.1978800000000001e-17 2.0689599999999998e-16 2.13002e-16 2.68628e-16 8.850870000000001e-17 5.008149999999999e-16 1.11435e-16 -99.0 -99.0 Double-galaxy
236_1_3 1.16418 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.7753200000000003e-16 2.95028e-17 5.301600000000001e-17 2.45513e-17 -
236_1_4 0.5167 0.516407 7.859999999999999e-05 4.0035600000000004e-16 2.88058e-17 3.4282400000000004e-16 1.5042900000000002e-17 1.0864400000000001e-16 6.124109999999999e-18 3.6375699999999997e-16 1.0956299999999999e-16 -99.0 -99.0 -
236_1_5 0.47893 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.8700600000000003e-15 2.90787e-16 -99.0 -99.0 -
236_1_6 1.21041 1.21682 -9.3e-06 1.34818e-16 8.947410000000002e-18 -1.5618299999999998e-16 1.1087799999999999e-16 2.3997299999999998e-17 5.26832e-17 2.4434200000000003e-16 4.6735200000000004e-17 -99.0 -99.0 -
236_1_7 0.89917 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.46314e-16 2.7865000000000004e-17 -99.0 -99.0 -
236_1_8 0.55401 0.5542630000000001 7.209999999999999e-05 2.46307e-16 1.80112e-17 3.55702e-16 9.96652e-18 4.9261400000000005e-17 1.0317e-17 6.388499999999999e-16 1.28257e-16 -99.0 -99.0 -
236_1_9 1.19264 -99.0 -99.0 -99.0 -99.0 1.02312e-17 8.27586e-17 1.94464e-16 3.97809e-17 2.7857400000000003e-16 4.82213e-17 -99.0 -99.0 Double-galaxy
236_1_10 0.49558 0.49731000000000003 0.00014319999999999998 1.3583100000000002e-16 3.8117600000000004e-17 2.0754099999999998e-16 1.2820100000000002e-17 6.36508e-17 1.26475e-17 2.0383400000000003e-15 1.588e-16 -99.0 -99.0 Extended_relative_to_slit
236_1_11 0.37732 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.85085e-16 2.7098099999999996e-17 -99.0 -99.0 -
236_1_12 0.85508 0.866856 0.00020069999999999997 1.41903e-16 1.46964e-17 -1.04566e-15 8.77333e-16 4.81942e-16 1.26018e-16 1.31225e-15 3.19611e-16 1.7310099999999999e-16 8.1732e-17 -
236_1_13 1.0227700000000002 1.01605 0.0001008 9.883639999999999e-17 1.26468e-17 2.47059e-17 9.68916e-17 7.19437e-17 5.182600000000001e-17 3.1529500000000003e-16 3.3018500000000003e-17 4.7258199999999994e-17 2.0315899999999998e-17 -
236_1_14 0.9376 0.9362209999999999 8.590000000000001e-05 1.3077e-16 1.0986900000000001e-17 1.24971e-16 7.12097e-17 6.58299e-16 7.938970000000001e-17 1.8973500000000002e-16 2.08706e-17 -99.0 -99.0 -
236_1_15 0.8984200000000001 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 4.41545e-16 8.828819999999999e-17 -99.0 -99.0 -
236_1_16 0.98111 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.1937599999999998e-16 6.60675e-17 -99.0 -99.0 -
236_1_17 0.65699 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.43631e-16 3.45849e-17 -99.0 -99.0 -
236_2_6 0.5043300000000001 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.45409e-16 4.5947100000000004e-17 -99.0 -99.0 -
236_2_8 0.45913000000000004 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.48528e-16 5.1229399999999993e-17 -99.0 -99.0 -
236_2_9 0.8980799999999999 0.89466 0.00011970000000000001 4.02431e-16 2.2378600000000002e-17 6.16746e-16 2.3573800000000003e-16 1.10867e-16 8.31867e-17 3.9836400000000005e-16 4.17618e-17 -99.0 -99.0 -
236_2_10 0.62049 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 9.23352e-17 2.3040700000000004e-17 -99.0 -99.0 -
236_2_11 1.8711900000000001 -99.0 -99.0 -99.0 -99.0 3.92096e-17 1.91596e-17 5.42426e-16 4.83629e-17 -99.0 -99.0 -99.0 -99.0 -
236_2_12 0.35872 0.119174 0.0001581 -99.0 -99.0 3.66305e-16 1.20842e-17 8.569280000000001e-16 3.52231e-17 4.86985e-16 8.4994e-18 6.48733e-17 5.438229999999999e-18 -
236_2_13 0.9440000000000001 0.9360290000000001 0.00016450000000000001 1.43624e-16 4.4736999999999995e-18 -1.16218e-16 2.18105e-16 -7.35651e-17 8.013329999999999e-17 5.46792e-16 1.29759e-16 -99.0 -99.0 -
236_2_14 0.64595 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 8.0545e-17 2.5315300000000003e-17 -99.0 -99.0 -
236_2_15 0.4848 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.63069e-16 6.264800000000001e-17 -99.0 -99.0 -
236_2_16 1.0581200000000002 1.0507799999999998 0.0001462 6.887680000000001e-17 5.536459999999999e-18 -1.59137e-16 1.13887e-16 -1.34111e-16 7.34756e-17 1.3135999999999999e-15 5.70681e-16 -99.0 -99.0 Hb-artificat
236_2_17 1.05149 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.08353e-16 5.2998199999999996e-17 -99.0 -99.0 -
236_2_19 0.92724 0.93575 0.0001143 1.1062799999999999e-16 4.762169999999999e-18 3.6027999999999996e-16 3.78285e-16 2.5515400000000003e-16 1.0545200000000001e-16 7.381869999999999e-16 1.0136100000000001e-16 2.2204299999999998e-16 4.528930000000001e-17 -
