id wisp_id RA DEC FLUX_TOTAL_U FLUXERR_TOTAL_U FLUX_TOTAL_G FLUXERR_TOTAL_G FLUX_TOTAL_F475X FLUXERR_TOTAL_F475X FLUX_TOTAL_R FLUXERR_TOTAL_R FLUX_TOTAL_F600LP FLUXERR_TOTAL_F600LP FLUX_TOTAL_I FLUXERR_TOTAL_I FLUX_TOTAL_F814W FLUXERR_TOTAL_F814W FLUX_TOTAL_F110W FLUXERR_TOTAL_F110W FLUX_TOTAL_F140W FLUXERR_TOTAL_F140W FLUX_TOTAL_F160W FLUXERR_TOTAL_F160W FLUX_TOTAL_IRAC FLUXERR_TOTAL_IRAC comment
309_1_2 78 324.7962950000001 -38.39867 0.009998762412068428 0.014533523959183187 0.222713349175301 0.039754855918000674 -99.0 -99.0 1.1097527986008848 0.06817768413620615 -99.0 -99.0 -99.0 -99.0 1.679282672585486 0.08409224754478473 2.1053793382652395 0.04903382620999595 -99.0 -99.0 3.2777953109069107 0.15282908892164762 2.2471199162624926 0.2679330259598767 AGN-candidate
309_1_3 70 324.791656 -38.400009 0.1833100386206093 0.027588523819294056 0.11733464100506448 0.03407535443391069 -99.0 -99.0 0.18336069605434926 0.053030541181786565 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.5276583876639125 0.027518495826888253 -99.0 -99.0 2.674399293848412 0.06462656819812837 8.113836440622064 0.2679330259598767 -
309_1_4 2049 324.796661 -38.40276 0.1593625421191406 0.026714546067683143 0.2590277236212952 0.03581105398872286 -99.0 -99.0 0.4613029680710298 0.05672280209770882 -99.0 -99.0 -99.0 -99.0 0.14819250828885974 0.06316493026743496 0.19553578485730294 0.027518495826888253 -99.0 -99.0 0.3712156257705221 0.06462656819812837 0.6773704532824257 0.2679330259598767 -
309_1_5 16 324.791901 -38.40506 2.2746063588238763 0.03875731273750418 4.621960705428807 0.05704357391908396 -99.0 -99.0 8.780237205848737 0.09299931919443938 -99.0 -99.0 -99.0 -99.0 12.796169966104696 0.14850325513420068 18.06342083169969 0.09982266056309536 -99.0 -99.0 24.076868456124483 0.2439359420033113 29.64286389781199 0.3276317095723336 Extended_relative_to_slit
309_1_6 177 324.787109 -38.407669 0.6101916339116528 0.029281554874087783 0.6677074914750908 0.037699612441211255 -99.0 -99.0 0.5233909981688056 0.05770461681938476 -99.0 -99.0 -99.0 -99.0 0.5158705716958257 0.0916911685263688 0.7561010141635375 0.06280149211354807 -99.0 -99.0 1.061707795246733 0.1924394002709716 1.1127209090369734 0.17013140913708905 AGN-candidate
309_1_7 2003 324.807861 -38.41227 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -
309_1_8 213 324.804596 -38.414127 0.22450511951614707 0.026281338473795275 0.4254673603846846 0.037737073356757606 -99.0 -99.0 0.367778425252025 0.055180167347280575 -99.0 -99.0 -99.0 -99.0 0.4003501540918546 0.044004599424539735 0.5812995677253869 0.032676382327500864 -99.0 -99.0 0.2466039337234332 0.07326463394515621 0.05512977866948462 0.2679330259598767 -
309_1_9 64 324.818878 -38.41848 0.8772962013990836 0.03312991089376662 1.1387443859858644 0.03870283489258395 -99.0 -99.0 1.071090701112526 0.06027783166434129 -99.0 -99.0 -99.0 -99.0 1.6575442609282445 0.09908895300442473 2.3851162056963915 0.06816369427768894 -99.0 -99.0 2.8159777460271624 0.2048404948512554 5.194051469940157 0.1856214396552253 Double-galaxy
309_1_10 56 324.800079 -38.417969 0.6452176646486998 0.033636658210478405 0.4947960784288363 0.03969488664562185 -99.0 -99.0 1.5574935216983097 0.06570249911926182 -99.0 -99.0 -99.0 -99.0 1.8153160554429464 0.14844519898998945 2.86061947801785 0.09933415127423467 -99.0 -99.0 3.8231932338345223 0.06462656819812837 7.621250717437003 0.19444473139265445 -
309_1_11 39 324.806 -38.420925 1.2186142405281146 0.035244070325672644 1.7161144529493062 0.042519553084955634 -99.0 -99.0 2.9402634744945395 0.0677043261143626 -99.0 -99.0 -99.0 -99.0 3.17597138154626 0.14239022719016126 5.2911796709759065 0.0931976231867214 -99.0 -99.0 6.5975528238037535 0.28645056264050145 12.964215719547 0.24717625991952 -
309_1_12 182 324.787689 -38.420532 0.010024581451490464 0.01308313368800888 0.20510972338068365 0.03744256385289073 -99.0 -99.0 0.2639163212486411 0.05627207428591827 -99.0 -99.0 -99.0 -99.0 0.256212314682901 0.04705548237568342 0.6064569815101353 0.04192588862077051 -99.0 -99.0 1.0577913224994977 0.09462916209834693 2.1286597528548525 0.17567275845610644 -
309_1_13 96 324.804443 -38.426811 0.8136286801260149 0.03612130642173152 0.8192684847049824 0.042785781599679926 -99.0 -99.0 0.7785136809728604 0.06575454043033185 -99.0 -99.0 -99.0 -99.0 0.8998658257432054 0.14233458666747795 1.078779366572472 0.09159485295994077 -99.0 -99.0 0.989500756064065 0.2875512716895647 1.826359419752526 0.2548525855139612 -
309_1_14 11 324.793671 -38.427509 4.975838188687201 0.040787955384781055 9.34428872212119 0.06024485576532819 -99.0 -99.0 22.830017737647072 0.09672522766851227 -99.0 -99.0 -99.0 -99.0 26.62686276924124 0.1569560891938888 35.71083458083451 0.13156387419858362 -99.0 -99.0 47.467897948292176 0.26231863325806515 45.44710763893864 0.2386004545840934 -
309_1_15 69 324.810699 -38.431347 1.1081186108500392 0.03470090856673096 1.629994912560301 0.04714021696070758 -99.0 -99.0 1.7692379603336004 0.0689290505319229 -99.0 -99.0 -99.0 -99.0 1.5821221107222545 0.04634521387235368 2.101000950647982 0.027518495826888253 -99.0 -99.0 2.7620163742821813 0.06462656819812837 3.019856101038977 0.2431016148390961 -
309_1_16 40 324.797699 -38.433235 2.7704240516123173 0.04286923097272444 3.0873527190418977 0.053460653143582636 -99.0 -99.0 4.415564661083046 0.08256052557795507 -99.0 -99.0 -99.0 -99.0 4.574912647184074 0.12682333835901013 5.117332333486472 0.08168005014577122 -99.0 -99.0 5.018802016961713 0.24994422971800245 7.935718408945314 0.19296579717800152 -
309_1_17 116 324.800323 -38.435749 0.12554408426845987 0.12554408426845987 0.055363845613731484 0.03029024987985308 -99.0 -99.0 0.5032528567989392 0.060583170658212525 -99.0 -99.0 -99.0 -99.0 0.2659077225387451 0.1286663390282665 1.0920303922414882 0.082917372825226 -99.0 -99.0 2.955327348566545 0.2580422231861981 9.327950846506846 0.19760787461513996 -
309_1_18 330 324.7968140000001 -38.437038 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.06779946219218465 0.06316493026743496 0.14778360244074892 0.027518495826888253 -99.0 -99.0 0.12292104647325518 0.06462656819812837 0.3218297952287724 0.2679330259598767 -
62_1_3 22 195.315781 -0.025592 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 14.246436573717402 0.1312189055329962 15.304750318371072 0.2325949896408977 -99.0 -99.0 21.903820913717322 0.3692046928443258 -
62_1_4 2029 195.322037 -0.023666999999999997 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.4211397635041487 0.05139719060690617 0.8638259548992521 0.09242656107739534 -99.0 -99.0 0.9419465263853408 0.1865326546678164 -
62_1_5 21 195.327118 -0.019925 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 13.70207211500425 0.08329527121583133 19.15429840051347 0.16230961157292428 -99.0 -99.0 52.9565690166153 0.3316708257102796 -
62_1_6 47 195.318176 -0.018129 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 5.5522146654537226 0.05062809725337741 6.280384728860639 0.10296660972065892 -99.0 -99.0 7.047582362289178 0.3318158005034273 -
62_1_7 278 195.325012 -0.013956 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.30257026728912023 0.05139719060690617 0.3351399873355683 0.09242656107739534 -99.0 -99.0 0.003631 0.2679330259598767 -
62_1_8 217 195.33786 -0.01157 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.6717787298656632 0.05139719060690617 0.6510678480179063 0.09242656107739534 -99.0 -99.0 0.003631 0.2679330259598767 -
62_1_9 38 195.317215 -0.009804 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 8.036487044302923 0.07920273682789099 8.562217365870447 0.1648248530410724 -99.0 -99.0 12.811494662871285 0.3516788660459102 -
62_1_11 63 195.304214 -0.0045130000000000005 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.1738489132401573 0.052619766453277005 3.403347137651417 0.11567054377759722 -99.0 -99.0 3.687397526286512 0.2964687468481241 -
62_1_13 81 195.310562 0.001285 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0556361614451224 0.04051820379011293 2.2739779486826377 0.09341384960048414 -99.0 -99.0 3.927535868904288 0.3618878069168216 -
62_1_14 69 195.319443 0.004619 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.631396234675364 0.06810558551568363 3.872453833582658 0.15301489312028738 -99.0 -99.0 -99.0 -99.0 -
62_1_15 257 195.328979 0.0064010000000000004 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.3591089663871493 0.05139719060690617 0.4911636848576341 0.09242656107739534 -99.0 -99.0 0.7705951102646714 0.20370341406093825 -
62_1_16 10 195.317627 0.008109 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 52.60490600221024 0.11628605913724285 65.14877423152751 0.2280237101223216 -99.0 -99.0 73.4108410998126 0.3583550049608774 Extended_relative_to_slit
62_1_17 2035 195.322113 0.010006999999999999 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.3062148505442085 0.05139719060690617 0.4558545027157989 0.09242656107739534 -99.0 -99.0 0.020855770969051286 0.2679330259598767 -
64_2_5 34 219.368164 -1.847108 1.7238768951161303 0.035884330689531674 2.241125870477567 0.03550461911413296 1.903252817976533 0.17906413360151982 -99.0 -99.0 4.582331431105186 0.2755423348756594 6.985319080330702 0.07656378102232234 -99.0 -99.0 9.996815006644256 0.1201821481638819 -99.0 -99.0 10.448234767385065 0.3849780898153952 10.223185682686736 0.2005654002406074 -
