ID_Bouwens ID(Fink) id(Har) X_Deg Y_Deg I-Flux/Error Z-Flux/Error Y-Flux/Error H-Flux/Error Image_used
GNWI-7538116328 z6_GNW_27915 - 189.47419046 62.275681002 0.281$\pm$0.063 0.797$\pm$0.076 0.742$\pm$0.094 0.86$\pm$0.124 North
GNWI-7331118044 z6_GNW_23437 z6_gdnw_31181 189.38799479 62.301178146999995 0.121$\pm$0.052 0.685$\pm$0.067 1.118$\pm$0.092 1.04$\pm$0.127 North
GNWI-7253518456 z6_GNW_21823 z6_gdnw_32933 189.35556341 62.312586548 0.232$\pm$0.05 0.7$\pm$0.07 0.736$\pm$0.106 0.583$\pm$0.139 North
GNWI-7428619417 - z6_gdnw_34769 189.42856168 62.328191729 0.045$\pm$0.052 0.531$\pm$0.068 0.618$\pm$0.099 0.474$\pm$0.117 North
GNWI-7398919596 z6_GNW_22717 z6_gdnw_35230 189.41616764 62.333146603 0.243$\pm$0.052 0.668$\pm$0.069 0.821$\pm$0.113 0.955$\pm$0.117 North
GNWI-7138219247 z6_GNW_20152 z6_gdnw_34253 189.30762205 62.323457352 0.099$\pm$0.05 0.451$\pm$0.063 0.423$\pm$0.095 0.598$\pm$0.127 North
GNWI-7144820170 - - 189.31030411 62.337972245 0.115$\pm$0.05 0.413$\pm$0.064 0.359$\pm$0.092 0.5$\pm$0.119 North
GNWI-7165421239 z6_GNW_32543 z6_gdnw_36710 189.31892402 62.356550425 0.133$\pm$0.055 0.744$\pm$0.066 0.999$\pm$0.1 0.945$\pm$0.116 North
GNWI-6390708452 - - 189.16279475 62.145816909 0.098$\pm$0.05 0.39$\pm$0.066 0.548$\pm$0.126 0.566$\pm$0.123 North
GNWI-6474712002 - - 189.19780907 62.19998218 0.094$\pm$0.054 0.498$\pm$0.07 21.63$\pm$9.735 0.374$\pm$0.07 North
GNWI-7124218284 z6_GNW_22555 z6_gdnw_32168 189.30174877 62.307810143999994 0.055$\pm$0.044 1.119$\pm$0.057 1.661$\pm$0.107 1.826$\pm$0.143 North
GNWI-6325106317 - - 189.13543875 62.108730601000005 0.13$\pm$0.043 0.464$\pm$0.057 0.643$\pm$0.106 0.643$\pm$0.144 North
