ID_Bouwens ID(Fink) id(Har) X_Deg Y_Deg Z-Flux/Error Y-Flux/Error J-Flux/Error H-Flux/Error Image_used
GNWZ-8024316291 z7_GNW_28182 - 189.51012305 62.27464245 0.1$\pm$0.061 0.48$\pm$0.096 0.491$\pm$0.105 0.55$\pm$0.131 North
GNWZ-7455218088 z7_GNW_23317 - 189.43968252 62.302386616999996 0.031$\pm$0.062 0.375$\pm$0.104 0.671$\pm$0.123 0.78$\pm$0.118 North
GNWZ-7268117400 - z7_gdnw_30099 189.36171269 62.29438969899999 0.061$\pm$0.063 0.551$\pm$0.087 0.868$\pm$0.118 0.621$\pm$0.12 North
GNWZ-7256517434 z7_GNW_24443 z7_gdnw_30223 189.35686894 62.295325863 0.731$\pm$0.068 2.151$\pm$0.089 3.391$\pm$0.12 3.162$\pm$0.119 North
GNWZ-7259418092 z7_GNW_23360 z7_gdnw_31410 189.35805845 62.302480732 0.14$\pm$0.061 0.502$\pm$0.1 0.679$\pm$0.121 0.556$\pm$0.114 North
GNWZ-7216017387 - - 189.34000296 62.294019613 0.057$\pm$0.061 0.224$\pm$0.099 0.436$\pm$0.107 0.477$\pm$0.104 North
GNWZ-7152917458 - - 189.31372846 62.295970575 0.333$\pm$0.067 0.604$\pm$0.094 0.5$\pm$0.107 0.541$\pm$0.118 North
GNWZ-7222118310 z7_GNW_22375 z7_gdnw_32319 189.34260498 62.308523925 0.152$\pm$0.066 0.583$\pm$0.093 0.798$\pm$0.117 0.93$\pm$0.119 North
GNWZ-7179419175 z6_GNW_20456 z7_gdnw_34026 189.32476466 62.321446093 0.192$\pm$0.052 0.501$\pm$0.099 0.706$\pm$0.118 0.647$\pm$0.13 North
GNWZ-7103021596 z6_GNW_18532 - 189.29294585 62.366489859 0.403$\pm$0.065 0.724$\pm$0.104 0.985$\pm$0.153 0.713$\pm$0.159 North
GNWZ-6086408599 z7_GNW_7284 z7_gdnw_3383 189.03605974 62.149914614 0.028$\pm$0.077 0.473$\pm$0.088 0.619$\pm$0.106 0.875$\pm$0.16 North
GNWZ-5516510357 z7_GNW_11595 - 188.9652801 62.176494383999994 0.074$\pm$0.067 0.323$\pm$0.099 0.542$\pm$0.119 0.541$\pm$0.115 North
GNDZ-7214611055 z7_GND_40057 z7_gdnd_9868 189.33944985 62.184762283999994 0.047$\pm$0.07 0.442$\pm$0.043 0.431$\pm$0.057 0.701$\pm$0.072 North
GNDZ-7209312060 - z7_gdnd_13809 189.33722435 62.201584819 0.263$\pm$0.063 0.587$\pm$0.043 0.755$\pm$0.055 0.771$\pm$0.071 North
GNDZ-7291612311 - z7_gdnd_15502 189.37152581 62.208581222 0.118$\pm$0.053 0.358$\pm$0.058 0.302$\pm$0.054 0.301$\pm$0.069 North
GNDZ-7239112259 - - 189.34961249 62.207137802 -0.033$\pm$0.065 0.213$\pm$0.043 0.188$\pm$0.053 0.298$\pm$0.074 North
GNDZ-7294714256 z7_GND_22525 z7_gdnd_22778 189.37281844 62.240370547 0.05$\pm$0.064 0.322$\pm$0.051 0.368$\pm$0.059 0.394$\pm$0.088 North
GNDZ-7270315213 - - 189.36264396 62.255865438 -0.054$\pm$0.061 0.305$\pm$0.051 0.237$\pm$0.061 0.339$\pm$0.08 North
GNDZ-7019109476 - - 189.25786633 62.16313316300001 0.018$\pm$0.062 0.145$\pm$0.042 0.252$\pm$0.052 0.384$\pm$0.071 North
GNDZ-7070810474 - z7_gdnd_8821 189.27953278 62.179764906 0.082$\pm$0.068 0.28$\pm$0.045 0.395$\pm$0.057 0.406$\pm$0.072 North
GNDZ-7130712063 z7_GND_35507 z7_gdnd_13828 189.30446271 62.201686357 0.107$\pm$0.067 0.413$\pm$0.045 0.551$\pm$0.054 0.719$\pm$0.072 North
GNDZ-6549212147 z7_GND_34860 z7_gdnd_14328 189.22885789 62.204010663999995 0.32$\pm$0.061 0.815$\pm$0.045 0.971$\pm$0.055 1.13$\pm$0.077 North
GNDZ-6542012155 z7_GND_34730 z7_gdnd_14372 189.22583165 62.204217119 0.243$\pm$0.058 0.579$\pm$0.049 1.054$\pm$0.065 1.076$\pm$0.086 North
GNDZ-6439012555 - - 189.18294401 62.215337055 0.017$\pm$0.078 0.39$\pm$0.105 0.33$\pm$0.065 0.487$\pm$0.101 North
