ID_Bouwens ID(Fink) id(Har) X_Deg Y_Deg Y-Flux/Error J-Flux/Error H-Flux/Error Image_used
GNWY-7379420231 - - 189.40806713 62.339682272 0.074$\pm$0.101 0.799$\pm$0.116 0.606$\pm$0.129 North
GNWY-7247220496 z8_GNW_30497 - 189.35302246 62.347018006000006 0.262$\pm$0.103 0.571$\pm$0.12 0.612$\pm$0.12 North
GNWY-7183521367 - - 189.32645899 62.360104412 0.286$\pm$0.103 0.688$\pm$0.121 0.813$\pm$0.13 North
GNWY-6458508231 z8_GNW_5376 - 189.19105426 62.139694074 0.242$\pm$0.13 0.675$\pm$0.096 0.787$\pm$0.119 North
GNWY-7088719051 z8_GNW_21001 - 189.28701445 62.318025223999996 0.163$\pm$0.101 0.584$\pm$0.102 0.711$\pm$0.139 North
GNWY-6336207437 z8_GNW_3806 - 189.14009408 62.128713183 0.336$\pm$0.095 0.889$\pm$0.104 0.581$\pm$0.123 North
GNWY-6200412096 z7_GNW_15559 - 189.08349731 62.202586095 0.365$\pm$0.106 0.866$\pm$0.101 1.075$\pm$0.139 North
GNDY-7193611417 z8_GND_37387 - 189.33068754 62.194858756 0.095$\pm$0.051 0.355$\pm$0.065 0.402$\pm$0.077 North
GNDY-7274212447 z8_GND_32082 - 189.36428994 62.212327883 0.164$\pm$0.052 0.43$\pm$0.054 0.395$\pm$0.071 North
GNDY-7258112518 - - 189.35757974 62.214310094 0.069$\pm$0.062 0.713$\pm$0.062 0.627$\pm$0.087 North
GNDY-7199315263 - - 189.33306137 62.25723482 0.577$\pm$0.049 1.304$\pm$0.065 1.337$\pm$0.082 North
GNDY-7194815430 - - 189.33114168 62.261873553 -0.043$\pm$0.047 0.211$\pm$0.06 0.343$\pm$0.08 North
GNDY-6507310134 - - 189.21137617 62.170316246999995 0.018$\pm$0.052 0.361$\pm$0.063 0.372$\pm$0.085 North
GNDY-6556812087 z8_GND_35384 - 189.23198703 62.20233704 0.195$\pm$0.051 0.369$\pm$0.061 0.41$\pm$0.079 North
GNDY-7092813358 - - 189.28870203 62.22653411 0.205$\pm$0.045 0.451$\pm$0.054 0.519$\pm$0.074 North
GNDY-7120113385 - - 189.30007294 62.22728851300001 0.108$\pm$0.046 0.241$\pm$0.051 0.338$\pm$0.072 North
GNDY-6487514332 z8_GND_21784 - 189.20307091 62.24250188600001 0.304$\pm$0.071 0.649$\pm$0.054 0.607$\pm$0.077 North
GNDY-6474515254 z8_GND_16634 - 189.19774576 62.256970392 0.09$\pm$0.105 0.443$\pm$0.057 0.338$\pm$0.081 North
GNDY-7120316495 z8_GND_9408 - 189.30013699 62.28035359 0.18$\pm$0.057 0.501$\pm$0.058 0.47$\pm$0.065 North
GNDY-7048017191 z8_GND_8052 - 189.27000888 62.28855146 0.249$\pm$0.047 0.768$\pm$0.055 1.053$\pm$0.067 North
GNDY-6480018111 - - 189.20000915 62.303012861999996 -0.009$\pm$0.193 0.295$\pm$0.052 0.369$\pm$0.058 North
GNDY-6542918162 z8_GND_42641 - 189.22622403 62.304420314 0.066$\pm$0.052 0.297$\pm$0.053 0.281$\pm$0.06 North
GNDY-6355614172 - - 189.1481773 62.23804424 0.199$\pm$0.088 0.387$\pm$0.058 0.474$\pm$0.072 North
GNDY-6290917113 z7_GND_44524 - 189.12118195 62.28639841 0.244$\pm$0.043 0.563$\pm$0.048 0.409$\pm$0.068 North
GNDJ-2545743169 - - 189.10605472 62.242040371 -0.01$\pm$0.092 0.041$\pm$0.055 1.313$\pm$0.074 North
GNDJ-2273942274 - - 189.34473793 62.239566487 -0.024$\pm$0.053 0.15$\pm$0.052 0.651$\pm$0.075 North
XDFY-2447446449 - - 53.186415991000004 -27.77917428 0.056$\pm$0.009 0.098$\pm$0.014 0.096$\pm$0.011 XDF
XDFY-2393447255 - - 53.163926847 -27.79042998 0.02$\pm$0.009 0.054$\pm$0.011 0.062$\pm$0.012 XDF
XDFY-2395371744 - - 53.164691956999995 -27.7881702 0.098$\pm$0.008 0.187$\pm$0.012 0.23$\pm$0.011 XDF
XDFY-2388047071 z7_MAIN_3474 - 53.161685265 -27.785321600000003 0.297$\pm$0.008 0.513$\pm$0.011 0.558$\pm$0.01 XDF
XDFY-2428746345 - - 53.178653401999995 -27.77625979 0.093$\pm$0.007 0.176$\pm$0.01 0.186$\pm$0.01 XDF
XDFY-2431346284 z7_MAIN_1400 - 53.179734528000004 -27.77457894 0.118$\pm$0.008 0.218$\pm$0.011 0.242$\pm$0.011 XDF
XDFY-2430846276 z8_MAIN_1375 - 53.179513986 -27.77436224 0.042$\pm$0.009 0.115$\pm$0.012 0.091$\pm$0.011 XDF
XDFY-2430746241 z8_MAIN_1224 - 53.17950618800001 -27.77338941 0.031$\pm$0.009 0.057$\pm$0.012 0.067$\pm$0.011 XDF
XDFY-2424246136 - - 53.176789611000004 -27.7704595 0.05$\pm$0.012 0.103$\pm$0.016 0.087$\pm$0.015 XDF
XDFY-2392046322 - - 53.163359664 -27.77561745 -0.001$\pm$0.008 0.048$\pm$0.01 0.06$\pm$0.011 XDF
XDFY-2376346014 - - 53.156805811999995 -27.76708605 0.038$\pm$0.008 0.13$\pm$0.012 0.143$\pm$0.011 XDF
XDFY-2377946001 z8_MAIN_519 - 53.157493111 -27.766695 0.053$\pm$0.008 0.157$\pm$0.011 0.157$\pm$0.011 XDF
XDFY-2381245539 - - 53.158892405 -27.76500214 0.031$\pm$0.008 0.165$\pm$0.011 0.203$\pm$0.01 XDF
GSDY-2499348180 z8_GSD_17938 - 53.20806607 -27.80503036 0.534$\pm$0.049 1.712$\pm$0.055 1.916$\pm$0.064 South
GSDY-2503746451 - - 53.209857596000006 -27.77921903 0.111$\pm$0.041 0.207$\pm$0.059 0.435$\pm$0.073 South
GSDY-2408551568 - - 53.170221343 -27.86579431 0.22$\pm$0.117 0.524$\pm$0.061 0.476$\pm$0.086 South
GSDY-2432246168 - - 53.180093258 -27.77136656 0.108$\pm$0.04 0.179$\pm$0.03 0.249$\pm$0.044 XDF
GSDY-2181852456 z8_GSD_36195 - 53.07576104899999 -27.87932848 0.182$\pm$0.055 0.562$\pm$0.059 0.574$\pm$0.075 South
GSDY-2144651485 z8_GSD_34461 - 53.060264217 -27.863473100000004 0.088$\pm$0.061 0.338$\pm$0.064 0.316$\pm$0.078 South
